prefix,AB_ICMPv4,AB_TCPv4,AB_DNSv4,GCD_ICMPv4,GCD_TCPv4,partial,backing_prefix,ASN,locations,is_hrp,number_of_active_ips,ip_utilization,clean_locations,scope,continent,country
1.10.10.0/24,3,0,3,3,0,False,1.10.10.0/24,148000,"[{'city': 'Delhi', 'country_code': 'IN', 'id': 'DELHI', 'lat': 28.607004, 'lon': 77.21405}
 {'city': 'Mumbai', 'country_code': 'IN', 'id': 'BOM', 'lat': 19.0887, 'lon': 72.8679}
 {'city': 'Manila', 'country_code': 'PH', 'id': 'MNL', 'lat': 14.5086, 'lon': 121.02}]",False,2,0.0078125,"[{'city': 'Delhi', 'country_code': 'IN', 'id': 'DELHI', 'lat': 28.607004, 'lon': 77.21405}, {'city': 'Mumbai', 'country_code': 'IN', 'id': 'BOM', 'lat': 19.0887, 'lon': 72.8679}, {'city': 'Manila', 'country_code': 'PH', 'id': 'MNL', 'lat': 14.5086, 'lon': 121.02}]",Continental,AS,
1.38.14.0/24,2,1,0,2,1,False,1.38.14.0/24,38266,"[{'city': 'Mumbai', 'country_code': 'IN', 'id': 'BOM', 'lat': 19.0887, 'lon': 72.8679}
 {'city': 'Manila', 'country_code': 'PH', 'id': 'MNL', 'lat': 14.5086, 'lon': 121.02}]",False,1,0.00390625,"[{'city': 'Mumbai', 'country_code': 'IN', 'id': 'BOM', 'lat': 19.0887, 'lon': 72.8679}, {'city': 'Manila', 'country_code': 'PH', 'id': 'MNL', 'lat': 14.5086, 'lon': 121.02}]",Continental,AS,
101.32.132.0/24,2,0,0,2,0,False,101.32.132.0/24,132203,"[{'city': 'Hong Kong', 'country_code': 'HK', 'id': 'HKX', 'lat': 22.30889, 'lon': 113.91472}
 {'city': 'Singapore', 'country_code': 'SG', 'id': 'SIN', 'lat': 1.35019, 'lon': 103.994}]",False,0,0.0,"[{'city': 'Hong Kong', 'country_code': 'HK', 'id': 'HKX', 'lat': 22.30889, 'lon': 113.91472}, {'city': 'Singapore', 'country_code': 'SG', 'id': 'SIN', 'lat': 1.35019, 'lon': 103.994}]",Continental,AS,
101.33.41.0/24,2,0,0,2,0,False,101.33.41.0/24,132203,"[{'city': 'Tokyo', 'country_code': 'JP', 'id': 'HND', 'lat': 35.5523, 'lon': 139.78}
 {'city': 'Hong Kong', 'country_code': 'HK', 'id': 'HKX', 'lat': 22.30889, 'lon': 113.91472}]",False,0,0.0,"[{'city': 'Tokyo', 'country_code': 'JP', 'id': 'HND', 'lat': 35.5523, 'lon': 139.78}, {'city': 'Hong Kong', 'country_code': 'HK', 'id': 'HKX', 'lat': 22.30889, 'lon': 113.91472}]",Continental,AS,
101.46.249.0/24,2,2,0,3,1,False,101.46.248.0/22,136907,"[{'city': 'Paris', 'country_code': 'FR', 'id': 'CDG', 'lat': 49.0128, 'lon': 2.55}
 {'city': 'Frankfurt-am-Main', 'country_code': 'DE', 'id': 'FRA', 'lat': 50.0264, 'lon': 8.54313}
 {'city': 'Dublin', 'country_code': 'IE', 'id': 'DUB', 'lat': 53.4213, 'lon': -6.27007}]",False,0,0.0,"[{'city': 'Paris', 'country_code': 'FR', 'id': 'CDG', 'lat': 49.0128, 'lon': 2.55}, {'city': 'Frankfurt-am-Main', 'country_code': 'DE', 'id': 'FRA', 'lat': 50.0264, 'lon': 8.54313}, {'city': 'Dublin', 'country_code': 'IE', 'id': 'DUB', 'lat': 53.4213, 'lon': -6.27007}]",Continental,EU,
101.46.254.0/24,2,0,0,3,1,False,101.46.254.0/24,136907,"[{'city': 'Paris', 'country_code': 'FR', 'id': 'CDG', 'lat': 49.0128, 'lon': 2.55}
 {'city': 'Frankfurt-am-Main', 'country_code': 'DE', 'id': 'FRA', 'lat': 50.0264, 'lon': 8.54313}
 {'city': 'Dublin', 'country_code': 'IE', 'id': 'DUB', 'lat': 53.4213, 'lon': -6.27007}]",False,0,0.0,"[{'city': 'Paris', 'country_code': 'FR', 'id': 'CDG', 'lat': 49.0128, 'lon': 2.55}, {'city': 'Frankfurt-am-Main', 'country_code': 'DE', 'id': 'FRA', 'lat': 50.0264, 'lon': 8.54313}, {'city': 'Dublin', 'country_code': 'IE', 'id': 'DUB', 'lat': 53.4213, 'lon': -6.27007}]",Continental,EU,
101.47.95.0/24,2,1,0,3,0,False,101.47.95.0/24,150436,"[{'city': None, 'country_code': None, 'id': 'NoCity', 'lat': 22.36, 'lon': 114.12}
 {'city': None, 'country_code': None, 'id': 'NoCity', 'lat': 1.3, 'lon': 103.79}
 {'city': 'Jakarta', 'country_code': 'ID', 'id': 'CGK', 'lat': -6.12557, 'lon': 106.656}]",False,8,0.03125,"[{'city': None, 'country_code': None, 'id': 'NoCity', 'lat': 22.36, 'lon': 114.12}, {'city': None, 'country_code': None, 'id': 'NoCity', 'lat': 1.3, 'lon': 103.79}, {'city': 'Jakarta', 'country_code': 'ID', 'id': 'CGK', 'lat': -6.12557, 'lon': 106.656}]",Continental,AS,
103.123.167.0/24,1,1,0,2,0,False,103.123.167.0/24,45177,"[{'city': 'Wellington', 'country_code': 'NZ', 'id': 'WEL', 'lat': -41.3272, 'lon': 174.805}
 {'city': 'Auckland', 'country_code': 'NZ', 'id': 'AKL', 'lat': -37.0081, 'lon': 174.792}]",False,11,0.04296875,"[{'city': 'Wellington', 'country_code': 'NZ', 'id': 'WEL', 'lat': -41.3272, 'lon': 174.805}, {'city': 'Auckland', 'country_code': 'NZ', 'id': 'AKL', 'lat': -37.0081, 'lon': 174.792}]",National,OC,NZ
103.135.109.0/24,2,2,0,2,1,False,103.135.109.0/24,59238,"[{'city': 'Singapore', 'country_code': 'SG', 'id': 'SIN', 'lat': 1.35019, 'lon': 103.994}
 {'city': 'Hong Kong', 'country_code': 'HK', 'id': 'HKX', 'lat': 22.30889, 'lon': 113.91472}]",False,3,0.01171875,"[{'city': 'Singapore', 'country_code': 'SG', 'id': 'SIN', 'lat': 1.35019, 'lon': 103.994}, {'city': 'Hong Kong', 'country_code': 'HK', 'id': 'HKX', 'lat': 22.30889, 'lon': 113.91472}]",Continental,AS,
103.138.240.0/24,1,0,0,2,0,False,103.138.240.0/23,45177,"[{'city': 'Wellington', 'country_code': 'NZ', 'id': 'WEL', 'lat': -41.3272, 'lon': 174.805}
 {'city': 'Auckland', 'country_code': 'NZ', 'id': 'AKL', 'lat': -37.0081, 'lon': 174.792}]",False,5,0.01953125,"[{'city': 'Wellington', 'country_code': 'NZ', 'id': 'WEL', 'lat': -41.3272, 'lon': 174.805}, {'city': 'Auckland', 'country_code': 'NZ', 'id': 'AKL', 'lat': -37.0081, 'lon': 174.792}]",National,OC,NZ
103.14.173.0/24,2,2,0,3,1,False,103.14.173.0/24,132382,"[{'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}
 {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}]",False,28,0.109375,"[{'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}, {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}]",National,OC,AU
103.14.174.0/24,2,2,0,4,1,False,103.14.174.0/24,132382,"[{'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}
 {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}
 {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",False,16,0.0625,"[{'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}, {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}, {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",National,OC,AU
103.145.230.0/24,2,2,0,4,1,False,103.145.230.0/24,152738,"[{'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}
 {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}
 {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",False,1,0.00390625,"[{'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}, {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}, {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",National,OC,AU
103.15.148.0/24,2,2,0,3,1,False,103.15.148.0/22,17551,"[{'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}
 {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}]",False,10,0.0390625,"[{'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}, {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}]",National,OC,AU
103.156.106.0/24,2,1,0,2,0,False,103.156.106.0/24,141202,"[{'city': 'Mumbai', 'country_code': 'IN', 'id': 'BOM', 'lat': 19.0887, 'lon': 72.8679}
 {'city': 'Bangalore', 'country_code': 'IN', 'id': 'BLR', 'lat': 13.1979, 'lon': 77.7063}]",False,2,0.0078125,"[{'city': 'Mumbai', 'country_code': 'IN', 'id': 'BOM', 'lat': 19.0887, 'lon': 72.8679}, {'city': 'Bangalore', 'country_code': 'IN', 'id': 'BLR', 'lat': 13.1979, 'lon': 77.7063}]",National,AS,IN
103.157.56.0/24,2,2,0,4,1,False,103.157.56.0/24,134185,"[{'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}
 {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}
 {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",False,0,0.0,"[{'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}, {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}, {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",National,OC,AU
103.163.2.0/24,2,2,0,4,1,False,103.163.2.0/24,141734,"[{'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}
 {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}
 {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",False,1,0.00390625,"[{'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}, {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}, {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",National,OC,AU
103.168.42.0/24,2,2,0,4,1,False,103.168.42.0/24,142426,"[{'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}
 {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}
 {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}]",False,14,0.0546875,"[{'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}, {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}, {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}]",National,OC,AU
103.168.43.0/24,2,2,0,4,1,False,103.168.43.0/24,151634,"[{'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}
 {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}
 {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}]",False,5,0.01953125,"[{'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}, {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}, {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}]",National,OC,AU
103.17.56.0/24,2,0,0,2,0,False,103.17.56.0/24,133159,"[{'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}]",False,13,0.05078125,"[{'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}]",National,OC,AU
103.180.114.0/24,2,3,0,5,1,False,103.180.114.0/24,200325,"[{'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}
 {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}
 {'city': 'Auckland', 'country_code': 'NZ', 'id': 'AKL', 'lat': -37.0081, 'lon': 174.792}
 {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",True,1,0.00390625,"[{'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}, {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}, {'city': 'Auckland', 'country_code': 'NZ', 'id': 'AKL', 'lat': -37.0081, 'lon': 174.792}, {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",Continental,OC,
103.180.115.0/24,3,3,0,3,1,False,103.180.115.0/24,200325,"[{'city': 'Delhi', 'country_code': 'IN', 'id': 'DELHI', 'lat': 28.607004, 'lon': 77.21405}
 {'city': 'Mumbai', 'country_code': 'IN', 'id': 'BOM', 'lat': 19.0887, 'lon': 72.8679}
 {'city': 'Manila', 'country_code': 'PH', 'id': 'MNL', 'lat': 14.5086, 'lon': 121.02}]",False,14,0.0546875,"[{'city': 'Delhi', 'country_code': 'IN', 'id': 'DELHI', 'lat': 28.607004, 'lon': 77.21405}, {'city': 'Mumbai', 'country_code': 'IN', 'id': 'BOM', 'lat': 19.0887, 'lon': 72.8679}, {'city': 'Manila', 'country_code': 'PH', 'id': 'MNL', 'lat': 14.5086, 'lon': 121.02}]",Continental,AS,
103.185.177.0/24,1,0,0,2,0,False,103.185.177.0/24,149659,"[{'city': 'Dhaka', 'country_code': 'BD', 'id': 'DAC', 'lat': 23.843348, 'lon': 90.39778}
 {'city': 'Singapore', 'country_code': 'SG', 'id': 'SIN', 'lat': 1.35019, 'lon': 103.994}]",False,3,0.01171875,"[{'city': 'Dhaka', 'country_code': 'BD', 'id': 'DAC', 'lat': 23.843348, 'lon': 90.39778}, {'city': 'Singapore', 'country_code': 'SG', 'id': 'SIN', 'lat': 1.35019, 'lon': 103.994}]",Continental,AS,
103.187.240.0/24,2,2,0,4,1,False,103.187.240.0/23,149841,"[{'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}
 {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}
 {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",False,11,0.04296875,"[{'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}, {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}, {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",National,OC,AU
103.2.237.0/24,3,3,0,4,2,False,103.2.237.0/24,149194,"[{'city': 'Bangalore', 'country_code': 'IN', 'id': 'BLR', 'lat': 13.1979, 'lon': 77.7063}
 {'city': 'Mumbai', 'country_code': 'IN', 'id': 'BOM', 'lat': 19.0887, 'lon': 72.8679}
 {'city': 'Delhi', 'country_code': 'IN', 'id': 'DELHI', 'lat': 28.607004, 'lon': 77.21405}
 {'city': 'Hyderabad', 'country_code': 'IN', 'id': 'HYD', 'lat': 17.231318, 'lon': 78.429855}]",False,17,0.06640625,"[{'city': 'Bangalore', 'country_code': 'IN', 'id': 'BLR', 'lat': 13.1979, 'lon': 77.7063}, {'city': 'Mumbai', 'country_code': 'IN', 'id': 'BOM', 'lat': 19.0887, 'lon': 72.8679}, {'city': 'Delhi', 'country_code': 'IN', 'id': 'DELHI', 'lat': 28.607004, 'lon': 77.21405}, {'city': 'Hyderabad', 'country_code': 'IN', 'id': 'HYD', 'lat': 17.231318, 'lon': 78.429855}]",National,AS,IN
103.22.156.0/24,2,1,0,2,1,False,103.22.156.0/24,45504,"[{'city': 'Hong Kong', 'country_code': 'HK', 'id': 'HKX', 'lat': 22.30889, 'lon': 113.91472}
 {'city': 'Taipei', 'country_code': 'TW', 'id': 'TAI', 'lat': 25.0777, 'lon': 121.233}]",True,0,0.0,"[{'city': 'Hong Kong', 'country_code': 'HK', 'id': 'HKX', 'lat': 22.30889, 'lon': 113.91472}, {'city': 'Taipei', 'country_code': 'TW', 'id': 'TAI', 'lat': 25.0777, 'lon': 121.233}]",Continental,AS,
103.227.200.0/24,2,2,1,4,1,False,103.227.200.0/24,24516,"[{'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}
 {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}
 {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",False,24,0.09375,"[{'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}, {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}, {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",National,OC,AU
103.227.201.0/24,2,2,1,4,1,False,103.227.201.0/24,24516,"[{'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}
 {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}
 {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",False,24,0.09375,"[{'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}, {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}, {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",National,OC,AU
103.227.202.0/24,2,2,0,4,1,False,103.227.202.0/24,24516,"[{'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}
 {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}
 {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",False,18,0.0703125,"[{'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}, {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}, {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",National,OC,AU
103.227.64.0/24,2,2,0,2,1,False,103.227.64.0/23,17551,"[{'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}]",False,13,0.05078125,"[{'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}]",National,OC,AU
103.230.172.0/24,2,2,1,4,1,False,103.230.172.0/22,24516,"[{'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}
 {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}
 {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",False,29,0.11328125,"[{'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}, {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}, {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",National,OC,AU
103.230.173.0/24,2,2,0,4,1,False,103.230.172.0/22,24516,"[{'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}
 {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}
 {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",False,20,0.078125,"[{'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}, {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}, {'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Adelaide', 'country_code': 'AU', 'id': 'ADL', 'lat': -34.945, 'lon': 138.531}]",National,OC,AU
103.239.10.0/24,1,1,0,2,1,False,103.239.8.0/22,18119,"[{'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Auckland', 'country_code': 'NZ', 'id': 'AKL', 'lat': -37.0081, 'lon': 174.792}]",False,22,0.0859375,"[{'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Auckland', 'country_code': 'NZ', 'id': 'AKL', 'lat': -37.0081, 'lon': 174.792}]",Continental,OC,
103.240.228.0/24,2,2,0,3,1,False,103.240.228.0/22,17551,"[{'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}
 {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}
 {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}]",False,1,0.00390625,"[{'city': 'Sydney', 'country_code': 'AU', 'id': 'SYD', 'lat': -33.9461, 'lon': 151.177}, {'city': 'Perth', 'country_code': 'AU', 'id': 'PER', 'lat': -31.9403, 'lon': 115.967}, {'city': 'Melbourne', 'country_code': 'AU', 'id': 'MEL', 'lat': -37.6733, 'lon': 144.843}]",National,OC,AU
